primary_fuel,ORIS code,Plant Name,physical_state,Unit Number,boiler_id,Unit Type,boiler_type,MWe_capacity_MW,max_heat_input_MMBtu/hr,Boiler_Heat_Rate_Mmbtu/MWh,Fuel_types,Fuel_Conc_lb/MMBtu,Mercury - ERT_lb/MMBtu,Mercury MW - ERT_lb/MW,Mercury - ETTS_lb_MMBtu,Mercury MW - ETTS_lb/MW,Mercury - CEMS_lb_MMBtu,Mercury - Part II_lb_MMBtu,Mercury MW - Part II_lb/MW,Mercury_min_lb_MMBtu,Mercury _min lb_MW,control_group_1,control_type_1,install_date_1,control_group_2,control_type_2,install_date_2,control_group_3,control_type_3,install_date_3,control_group_4,control_type_4,install_date_4,control_group_5,control_type_5,install_date_5,control_group_6,control_type_6,install_date_6,control_group_7,control_type_7,install_date_7,control_group_8,control_type_8,install_date_8,control_group_9,control_type_9,install_date_9,control_group_10,control_type_10,install_date_10,control_group_11,control_type_11,install_date_11,control_group_12,control_type_12,install_date_12
coal,54081,"Spruance Genco, LLC",VA,GEN2,2B,Conventional Boiler,Stoker - underfeed,28.7,375,13.06620209,coal - bituminous,3.28E-06,,,2.63E-09,3.44E-08,,,,2.63E-09,3.44E-08,SO2 control,Dry FGD - Spray Dryer,1-May-92,SO2 control,Dry FGD - Spray Dryer,1-May-92,PM control,"Fabric Filter, pulse",1-May-92,PM control,"Fabric Filter, pulse",1-May-92,,,,,,,,,,,,,,,,,,,,,,,,
coal,54081,"Spruance Genco, LLC",VA,GEN2,2A,Conventional Boiler,Stoker - underfeed,28.7,375,13.06620209,coal - bituminous,3.28E-06,,,2.63E-09,3.44E-08,,,,2.63E-09,3.44E-08,SO2 control,Dry FGD - Spray Dryer,1-May-92,SO2 control,Dry FGD - Spray Dryer,1-May-92,PM control,"Fabric Filter, pulse",1-May-92,PM control,"Fabric Filter, pulse",1-May-92,,,,,,,,,,,,,,,,,,,,,,,,
coal,10043,Logan Generating Plant,NJ,Unit1,B01,Conventional Boiler,Wall firing - opposed firing,241.7,2116,8.75465453,coal - bituminous,7.33E-06,,,5.33E-09,4.67E-08,,,,5.33E-09,4.67E-08,NOx control,Selective Catalytic Reduction,1-Sep-94,SO2 control,Dry FGD - Spray Dryer,1-Sep-94,PM control,"Fabric Filter, reverse air",1-Sep-94,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,527,Nucla,CO,001,1,Fluidized bed firing,Fluidized bed firing,110,1032,9.381818182,coal - bituminous,3.91E-06,,,9.85E-09,9.24E-08,,5.33E-09,5.00E-08,5.33E-09,5.00E-08,NOx control,Selective Noncatalytic Reduction,1-Jul-06,PM control,"Fabric Filter, shake and deflate",1-Jun-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,54081,"Spruance Genco, LLC",VA,GEN3,3A,Conventional Boiler,Stoker - underfeed,28.7,375,13.06620209,coal - bituminous,1.70E-06,,,4.69E-09,6.13E-08,,,,4.69E-09,6.13E-08,SO2 control,Dry FGD - Spray Dryer,1-May-92,SO2 control,Dry FGD - Spray Dryer,1-May-92,PM control,"Fabric Filter, pulse",1-May-92,PM control,"Fabric Filter, pulse",1-May-92,,,,,,,,,,,,,,,,,,,,,,,,
coal,54081,"Spruance Genco, LLC",VA,GEN3,3B,Conventional Boiler,Stoker - underfeed,28.7,375,13.06620209,coal - bituminous,1.70E-06,,,4.69E-09,6.13E-08,,,,4.69E-09,6.13E-08,SO2 control,Dry FGD - Spray Dryer,1-May-92,SO2 control,Dry FGD - Spray Dryer,1-May-92,PM control,"Fabric Filter, pulse",1-May-92,PM control,"Fabric Filter, pulse",1-May-92,,,,,,,,,,,,,,,,,,,,,,,,
coal,2527,AES Greenidge,NY,Unit 4,6,Conventional Boiler,Tangential firing,112,1117,9.973214286,"coal - bituminous, petroleum coke",,,,,,,6.46E-09,6.44E-08,6.46E-09,6.44E-08,NOx control,Selective Catalytic Reduction,1-May-07,NOx control,Selective Noncatalytic Reduction,1-May-07,Other control,Activated carbon injection,1-May-07,SO2 control,Dry FGD - Circulating Dry Scrubber,1-May-07,PM control,"Fabric Filter, pulse",1-Nov-06,,,,,,,,,,,,,,,,,,,,,
coal,3130,Seward,PA,SEW-1,1,Fluidized bed firing,Fluidized bed firing,292.5,3100,10.5982906,coal refuse (culm or gob),0.000100616,,,6.35E-09,6.73E-08,,0.000000038,4.03E-07,6.35E-09,6.73E-08,NOx control,Selective Noncatalytic Reduction,1-Mar-04,PM control,"Fabric Filter, pulse",1-Mar-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,3130,Seward,PA,SEW-1,2,Fluidized bed firing,Fluidized bed firing,292.5,3100,10.5982906,coal refuse (culm or gob),0.000100616,,,6.35E-09,6.73E-08,,0.000000038,4.03E-07,6.35E-09,6.73E-08,NOx control,Selective Noncatalytic Reduction,1-Mar-04,PM control,"Fabric Filter, pulse",1-Mar-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,54035,Roanoke Valley I,NC,Boiler 1,BLR1,Conventional Boiler,Wall firing - front firing,182,1700,9.340659341,coal - bituminous,7.64E-06,,,7.26E-09,6.78E-08,,,,7.26E-09,6.78E-08,SO2 control,Dry FGD - Spray Dryer,1-May-94,PM control,"Fabric Filter, reverse air",1-May-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,50976,INDIANTOWN COGENERATION L.P.,FL,001,AABO1,Conventional Boiler,Wall firing - opposed firing,361,3422,9.479224377,coal - bituminous,5.19E-06,,,8.54E-09,8.09E-08,,0.000000549,5.20E-06,8.54E-09,8.09E-08,NOx control,Selective Catalytic Reduction,1-Dec-95,SO2 control,Dry FGD - Spray Dryer,1-Dec-95,PM control,"Fabric Filter, pulse",1-Dec-95,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2526,"AES Westover, LLC",NY,8,13,Conventional Boiler,Tangential firing,86,875,10.1744186,coal - bituminous,,,,,,,8.15E-09,8.29E-08,8.15E-09,8.29E-08,NOx control,Selective Catalytic Reduction,1-Jan-09,SO2 control,Dry FGD - Spray Dryer,1-Jan-09,PM control,"Fabric Filter, pulse",1-Jan-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,50888,"Northampton Generating Company, L.P.",PA,GEN1,BLR1,Fluidized bed firing,Fluidized bed firing,121,1146,9.47107438,coal refuse (culm or gob),3.34E-05,,,1.04E-08,9.85E-08,,1.29E-07,1.22E-06,1.04E-08,9.85E-08,NOx control,Selective Noncatalytic Reduction,1-Aug-95,PM control,"Fabric Filter, pulse",1-Aug-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10675,AES Thames,CT,A,A,Fluidized bed firing,Fluidized bed firing,104,1002,9.634615385,coal - bituminous,,,,,,,1.05E-08,1.01E-07,1.05E-08,1.01E-07,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Mar-90,PM control,"Fabric Filter, pulse",1-Mar-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10675,AES Thames,CT,B,B,Fluidized bed firing,Fluidized bed firing,104,1002,9.634615385,coal - bituminous,,,,,,,1.05E-08,1.01E-07,1.05E-08,1.01E-07,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Mar-90,PM control,"Fabric Filter, pulse",1-Mar-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10673,AES Hawaii,HI,001,BLR A,Fluidized bed firing,Fluidized bed firing,101.5,1021.4,10.06305419,coal - bituminous,4.64E-06,,,1.17E-08,1.18E-07,,,,1.17E-08,1.18E-07,NOx control,Selective Noncatalytic Reduction,,PM control,"Fabric Filter, unspecified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,54755,Roanoke Valley II,NC,Boiler 2,BLR2,Conventional Boiler,Wall firing - front firing,50,560,11.2,coal - bituminous,6.56E-06,,,1.08E-08,1.21E-07,,,,1.08E-08,1.21E-07,NOx control,Selective Noncatalytic Reduction,1-Jun-95,SO2 control,Dry FGD - Spray Dryer,1-Jun-95,PM control,"Fabric Filter, pulse",1-Jun-95,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10673,AES Hawaii,HI,002,BLR B,Fluidized bed firing,Fluidized bed firing,101.5,944.2,9.302463054,coal - bituminous,4.83E-06,,,1.30E-08,1.21E-07,,,,1.30E-08,1.21E-07,NOx control,Selective Noncatalytic Reduction,,PM control,"Fabric Filter, unspecified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,54081,"Spruance Genco, LLC",VA,GEN4,4A,Conventional Boiler,Stoker - underfeed,28.7,375,13.06620209,coal - bituminous,2.27E-06,,,1.18E-08,1.54E-07,,1.61E-06,2.10E-05,1.18E-08,1.54E-07,SO2 control,Dry FGD - Spray Dryer,1-May-92,SO2 control,Dry FGD - Spray Dryer,1-May-92,PM control,"Fabric Filter, pulse",1-May-92,PM control,"Fabric Filter, pulse",1-May-92,,,,,,,,,,,,,,,,,,,,,,,,
coal,54081,"Spruance Genco, LLC",VA,GEN4,4B,Conventional Boiler,Stoker - underfeed,28.7,375,13.06620209,coal - bituminous,2.27E-06,,,1.18E-08,1.54E-07,,1.61E-06,2.10E-05,1.18E-08,1.54E-07,SO2 control,Dry FGD - Spray Dryer,1-May-92,SO2 control,Dry FGD - Spray Dryer,1-May-92,PM control,"Fabric Filter, pulse",1-May-92,PM control,"Fabric Filter, pulse",1-May-92,,,,,,,,,,,,,,,,,,,,,,,,
coal,10143,Colver Power Project,PA,AAB01,AAB01,Fluidized bed firing,Fluidized bed firing,131,1204,9.190839695,coal refuse (culm or gob),0.000113651,,,7.16E-08,6.58E-07,,1.74E-08,1.60E-07,1.74E-08,1.60E-07,NOx control,Selective Noncatalytic Reduction,1-May-95,PM control,"Fabric Filter, pulse",1-May-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,54304,Birchwood Power Facility,VA,1A,1A,Conventional Boiler,Tangential firing,222,2300,10.36036036,coal - bituminous,5.38E-06,1.55E-08,1.60E-07,,,,,,1.55E-08,1.60E-07,NOx control,Selective Catalytic Reduction,1-Oct-96,SO2 control,Dry FGD - Spray Dryer,1-Oct-96,PM control,"Fabric Filter, reverse air",1-Oct-96,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10603,Ebensburg Power Company,PA,EPC01,031,Fluidized bed firing,Fluidized bed firing,58,830,14.31034483,coal refuse (culm or gob),65.54186967,,,1.25E-08,1.79E-07,,3.87E-08,5.53E-07,1.25E-08,1.79E-07,PM control,"Fabric Filter, pulse",1-Nov-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10566,Chambers Cogeneration LP,NJ,Boil 1,Boil 1,Conventional Boiler,Wall firing - front firing,142.5,1387,9.733333333,coal - bituminous,8.56E-06,,,1.93E-08,1.88E-07,,,,1.93E-08,1.88E-07,NOx control,Selective Catalytic Reduction,1-Mar-94,SO2 control,Dry FGD - Spray Dryer,1-Mar-94,PM control,"Fabric Filter, reverse air",1-Mar-94,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2324,Reid Gardner,NV,1,1,Conventional Boiler,Wall firing - front firing,111,1215,10.94594595,coal - bituminous,0.015568965,,,2.01E-08,2.20E-07,,,,2.01E-08,2.20E-07,PM control,"Fabric Filter, pulse",1-Dec-08,SO2 control,Wet FGD - Venturi Type,1-Jul-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,7213,Clover,VA,Unit 1,1,Conventional Boiler,Tangential firing,431,4923,11.42227378,coal - bituminous,8.10E-06,,,2.02E-08,2.31E-07,,,,2.02E-08,2.31E-07,PM control,"Fabric Filter, reverse air",1-May-03,SO2 control,Wet FGD - Spray Type,1-May-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4042,Valley,WI,VAPP-B1,1,Conventional Boiler,Wall firing - front firing,72,868,12.05555556,coal - bituminous,1.51E-06,,,1.93E-08,2.33E-07,,,,1.93E-08,2.33E-07,PM control,"Fabric Filter, pulse",1-Jun-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10678,AES Warrior Run Cogeneration Facility,MD,BLR1,BLR1,Fluidized bed firing,Fluidized bed firing,202,2047,10.13366337,coal - bituminous,2.13E-05,,,2.34E-08,2.37E-07,,0.000000201,2.04E-06,2.34E-08,2.37E-07,NOx control,Selective Noncatalytic Reduction,1-Feb-00,PM control,"Fabric Filter, pulse",1-Feb-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10672,Cedar Bay Generating Company L.P.,FL,CBB1,CBB,Fluidized bed firing,Fluidized bed firing,92,1063,11.55434783,coal - bituminous,1.31E-05,,,1.90E-08,2.20E-07,,4.86E-08,5.62E-07,1.90E-08,2.20E-07,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Jan-94,NOx control,Selective Noncatalytic Reduction,1-Jan-94,PM control,"Fabric Filter, pulse",1-Jan-94,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,4042,Valley,WI,VAPP-B3,3,Conventional Boiler,Wall firing - front firing,72,868,12.05555556,coal - bituminous,1.64E-06,,,2.09E-08,2.52E-07,,,,2.09E-08,2.52E-07,PM control,"Fabric Filter, pulse",1-Jun-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10672,Cedar Bay Generating Company L.P.,FL,CBA1,CBA,Fluidized bed firing,Fluidized bed firing,92,1063,11.55434783,coal - bituminous,8.21E-06,,,2.22E-08,2.57E-07,,2.48E-06,2.87E-05,2.22E-08,2.57E-07,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Jan-94,NOx control,Selective Noncatalytic Reduction,1-Jan-94,PM control,"Fabric Filter, pulse",1-Jan-94,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,7210,Cope,SC,COP001,COP1,Conventional Boiler,Tangential firing,441,4059.1,9.20430839,coal - bituminous,5.86E-06,7.05E-08,6.49E-07,,,,2.90E-08,2.67E-07,2.90E-08,2.67E-07,NOx control,Selective Catalytic Reduction,1-Jan-09,SO2 control,Dry FGD - Spray Dryer,1-Apr-93,PM control,"Fabric Filter, unspecified",1-Apr-93,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,2378,BL England,NJ,2 Coal w or w/o TDF,2,Conventional Boiler,Cyclone firing,167.3,1600,9.563658099,coal - bituminous,,,,,,,2.96E-08,2.84E-07,2.96E-08,2.84E-07,NOx control,Selective Noncatalytic Reduction,1-Jun-98,Other control,Activated carbon injection,1-Dec-07,PM control,"Electrostatic precipitator, cold side, w/o flue gas conditioning",1-Jan-79,SO2 control,Wet FGD - Spray Type,1-Nov-94,,,,,,,,,,,,,,,,,,,,,,,,
coal,10672,Cedar Bay Generating Company L.P.,FL,CBC1,CBC,Fluidized bed firing,Fluidized bed firing,92,1063,11.55434783,coal - bituminous,7.33E-06,,,2.65E-08,3.06E-07,,,,2.65E-08,3.06E-07,SO2 control,Dry FGD - Circulating Dry Scrubber,1-Jan-94,NOx control,Selective Noncatalytic Reduction,1-Jan-94,PM control,"Fabric Filter, pulse",1-Jan-94,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,469,Cherokee,CO,Unit 3,3,Conventional Boiler,Wall firing - front firing,165,1877,11.37575758,coal - bituminous,,,,,,,2.81E-08,3.19E-07,2.81E-08,3.19E-07,SO2 control,Dry FGD - Spray Dryer,1-Jun-02,PM control,"Fabric Filter, reverse air",1-Feb-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,492,Martin Drake,CO,Unit 7 - Coal,7,Conventional Boiler,Wall firing - front firing,141,1475,10.46099291,"coal - subbituminous, bituminous",1.96E-06,,,3.11E-08,3.26E-07,,0.000000183,1.91E-06,3.11E-08,3.26E-07,PM control,"Fabric Filter, reverse air",1-Nov-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,10566,Chambers Cogeneration LP,NJ,Boil 2,Boil 2,Conventional Boiler,Wall firing - front firing,142.5,1387,9.733333333,coal - bituminous,8.23E-06,,,3.38E-08,3.29E-07,,,,3.38E-08,3.29E-07,NOx control,Selective Catalytic Reduction,1-Mar-94,SO2 control,Dry FGD - Spray Dryer,1-Mar-94,PM control,"Fabric Filter, reverse air",1-Mar-94,,,,,,,,,,,,,,,,,,,,,,,,,,,
coal,469,Cherokee,CO,Unit 4,4,Conventional Boiler,Tangential firing,383,3520,9.190600522,coal - bituminous,,,,,,,3.60E-08,3.31E-07,3.60E-08,3.31E-07,SO2 control,Dry FGD - Spray Dryer,1-Oct-02,PM control,"Fabric Filter, reverse air",1-Apr-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
