emissions,sources
0.00044,CC-BurnsHarbor-IN_BF C Stove Stack
0.00046,CC-BurnsHarbor-IN_BF C Stove Stack
0.00042,CC-BurnsHarbor-IN_BF C Stove Stack
0.000405297,CC-BurnsHarbor-IN_BF C Stove Stack
0.000539897,CC-BurnsHarbor-IN_BF C Stove Stack
0.000409706,CC-BurnsHarbor-IN_BF C Stove Stack
0.001473644,CC-BurnsHarbor-IN_BF C Stove Stack
0.001056281,CC-BurnsHarbor-IN_BF C Stove Stack
0.000953429,CC-BurnsHarbor-IN_BF C Stove Stack
0.00043,CC-BurnsHarbor-IN_BF C Stove Stack
0.000279,CC-BurnsHarbor-IN_BF C Stove Stack
0.000367,CC-BurnsHarbor-IN_BF C Stove Stack
0.001017253,USS-Braddock-PA_Blast Furnace #3 Stove Stack
0.00069452,USS-Braddock-PA_Blast Furnace #3 Stove Stack
0.000702332,USS-Braddock-PA_Blast Furnace #3 Stove Stack
0.00031,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.00032,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.00037,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.000693241,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.000964324,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.000807316,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.001122734,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.000936548,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.001219512,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.001633028,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.001147853,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.001208657,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.0048,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.0017,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.0011,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.00187,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.000988,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.00113,USS-Braddock-PA_Blast Furnace #1 Stove Stack
0.004208512,CC-IndianaHarbor-IN_IH7 Stove Stack
0.003522086,CC-IndianaHarbor-IN_IH7 Stove Stack
0.001421987,CC-IndianaHarbor-IN_IH7 Stove Stack
