emissions,sources
0.00880829,Lime_C02_F02_K03
0.011979167,Lime_C02_F02_K03
0.009326425,Lime_C02_F02_K03
0.011052632,Lime_C05_F15_K02
0.02076987,Lime_C05_F15_K02
0.014084507,Lime_C05_F15_K02
0.012,Lime_C05_F15_K02
0.006,Lime_C05_F15_K02
0.004,Lime_C05_F15_K02
0.019,Lime_C05_F15_K02
0.014,Lime_C05_F15_K02
0.016,Lime_C05_F15_K02
0.012,Lime_C05_F15_K02
0.006,Lime_C05_F15_K02
0.005,Lime_C05_F15_K02
0.316,Lime_C02_F05_K02
0.325,Lime_C02_F05_K02
0.319,Lime_C02_F05_K02
0.419587629,Lime_C05_F10_K02
0.267010309,Lime_C05_F10_K02
0.318041237,Lime_C05_F10_K02
0.521265823,Lime_C02_F03_K09
0.456532663,Lime_C02_F03_K09
0.5735,Lime_C02_F03_K09
